,pais,Cantidad_Tipo_Redes
0,Belgium,6
1,United States,6
2,Canada,5
3,United Kingdom,5
4,Italy,4
5,Mexico,4
6,SANTA SEDE,4
7,Spain,4
8,Switzerland,4
9,Tunisia,4
10,Algeria,3
11,Armenia,3
12,Austria,3
13,Azerbaijan,3
14,Brazil,3
15,Chile,3
16,Ecuador,3
17,"Egypt, Arab Rep.",3
18,El Salvador,3
19,India,3
20,Paraguay,3
21,Philippines,3
22,Saudi Arabia,3
23,South Africa,3
24,Sweden,3
25,Uruguay,3
26,"Venezuela, RB",3
27,Angola,2
28,Australia,2
29,Bulgaria,2
30,Czech Republic,2
31,Ethiopia,2
32,Finland,2
33,France,2
34,Germany,2
35,Greece,2
36,Ireland,2
37,Israel,2
38,Jamaica,2
39,Kenya,2
40,"Korea, Rep.",2
41,Morocco,2
42,Netherlands,2
43,Nigeria,2
44,Norway,2
45,Peru,2
46,Romania,2
47,Russian Federation,2
48,Serbia,2
49,Singapore,2
50,Ukraine,2
51,Vietnam,2
52,Barbados,1
53,Bolivia,1
54,Colombia,1
55,Costa Rica,1
56,Cuba,1
57,Denmark,1
58,Dominican Republic,1
59,Hungary,1
60,Japan,1
61,Kuwait,1
62,Lebanon,1
63,Malaysia,1
64,Mozambique,1
65,Pakistan,1
66,Poland,1
67,Syrian Arab Republic,1
68,Thailand,1
69,Trinidad and Tobago,1
70,United Arab Emirates,1
71,West Bank and Gaza,1
