pais,sede,red_social,url
Algeria,EARGE,facebook,facebook.com/argentinaenargelia
Algeria,EARGE,instagram,https://instagram.com/argenargelia
Algeria,EARGE,twitter,https://twitter.com/argenargelia
Angola,EANGO,facebook,https://www.facebook.com/argentinaenangola/
Angola,EANGO,instagram,https://www.instagram.com/embargentinaenangola/
Armenia,EARME,facebook,https://www.facebook.com/argentinaenarmenia
Armenia,EARME,instagram,https://www.instagram.com/arginarmenia/
Armenia,EARME,twitter,https://twitter.com/arginarmenia
Australia,CSIDN,facebook,https://www.facebook.com/argentinaensidney/
Australia,EAUST,facebook,https://www.facebook.com/argentinaenaustralia/
Australia,EAUST,twitter,https://twitter.com/arginaustralia
Austria,ETRIA,facebook,https://www.facebook.com/argentinaenaustria/
Austria,ETRIA,instagram,https://www.instagram.com/argenviena/
Austria,ETRIA,twitter,https://twitter.com/argenviena
Azerbaijan,EAZER,facebook,https://www.facebook.com/embassyofargentina/
Azerbaijan,EAZER,instagram,www.instagram.com/embargentinaaz
Azerbaijan,EAZER,twitter,www.twitter.com/argenazer
Barbados,EBARB,facebook,https://www.facebook.com/argentinaenbarbados/
Belgium,EBELG,facebook,https://www.facebook.com/argentinaenbelgica/
Belgium,EBELG,instagram,https://www.instagram.com/argenbelgica/
Belgium,ECEUR,facebook,https://www.facebook.com/arganteue
Belgium,ECEUR,flickr,https://www.flickr.com/people/197084220@n02/
Belgium,ECEUR,linkedin,https://www.linkedin.com/company/arganteue
Belgium,ECEUR,twitter,https://twitter.com/arganteue
Belgium,ECEUR,youtube,https://www.youtube.com/@arganteue
Bolivia,CCOCH,facebook,wwww.facebook.com/argentinaencochabamba
Bolivia,CVILL,facebook,https://www.facebook.com/argenvillazon
Brazil,CALEG,facebook,https://www.facebook.com/argentinaenportoalegre/
Brazil,CALEG,instagram,https://www.instagram.com/argenportoalegre/
Brazil,CALEG,twitter,https://twitter.com/argportoalegre
Brazil,CBELO,facebook,https://www.facebook.com/argentinaenbelohorizonte/
Brazil,CBELO,instagram,https://www.instagram.com/consgralbelo/
Brazil,CBELO,twitter,https://twitter.com/consgralbelo
Brazil,CCURI,facebook,https://www.facebook.com/argencuritiba/
Brazil,CCURI,instagram,https://instagram.com/argencuritiba
Brazil,CCURI,twitter,https://twitter.com/argencuri
Brazil,CFDIG,facebook,https://www.facebook.com/argentinaenfozdeiguazu
Brazil,CFDIG,instagram,https://www.instagram.com/argentinaenfoz/
Brazil,CFDIG,twitter,https://twitter.com/argentinaenfoz
Brazil,CFLOR,facebook,https://www.facebook.com/cflor.mrecic.gov.ar
Brazil,CRECI,facebook,https://www.facebook.com/argentinaenbrasilrecife
Brazil,CRECI,instagram,https://www.instagram.com/consuladoargentinorecife
Brazil,CRIOJ,facebook,https://www.facebook.com/argentinaenriodejaneiro/
