,País,Sede,Red Social,URL
0,AUSTRALIA,CSIDN,Facebook,https://www.facebook.com/ArgentinaEnSidney/
1,AUSTRALIA,EAUST,Facebook,https://www.facebook.com/ArgentinaEnAustralia/
2,AUSTRALIA,EAUST,Twitter,https://twitter.com/ARGinAustralia
3,BARBADOS,EBARB,Facebook,https://www.facebook.com/ArgentinaEnBarbados/
4,CANADÁ,CTORO,Facebook,https://www.facebook.com/ArgentinaEnToronto/
5,CANADÁ,CTORO,Instagram,https://www.instagram.com/consuladoargtoronto/
6,CANADÁ,ECANA,Facebook,https://www.facebook.com/ArgentinaInCanada
7,CANADÁ,ECANA,Instagram,https://www.instagram.com/argentinaincanada/
8,CANADÁ,ECANA,Linkedin,https://www.linkedin.com/company/argentinaincanada
9,CANADÁ,ECANA,Twitter,https://twitter.com/ArginCanada
10,CANADÁ,ECANA,Youtube,https://www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A
11,Confederación  Suiza,EOIRS,Facebook,https://www.facebook.com/ArgentinaEnGinebra
12,Confederación  Suiza,EOIRS,Instagram,www.instagram.com/misionargentinaonu
13,Confederación  Suiza,EOIRS,Twitter,https://twitter.com/ArgentinaONUOMC
14,Confederación  Suiza,EOIRS,Youtube,https://www.youtube.com/channel/UCSOsChik8j7nFJZnPq6K7Ag
15,EMIRATOS  ÁRABES  UNIDOS,EEARB,Facebook,https://www.facebook.com/ArgentinaEnEmiratosArabesUnidos
16,ESTADO  DE  ISRAEL,CGTEL,Facebook,https://www.facebook.com/ArgentinaEnIsrael/
17,ESTADO  DE  ISRAEL,EISRA,Facebook,https://www.facebook.com/ArgEnIsrael
18,ESTADO  DE  ISRAEL,EISRA,Twitter,https://twitter.com/argenisrael
19,ESTADO  DE  KUWAIT,EKUWA,Facebook,www.facebook.com/ArgentinaenKuwait
20,ESTADO  DE  PALESTINA,REPAL,Facebook,https://www.facebook.com/ArgEnPalestina
21,ESTADO  PLURINACIONAL  DE  BOLIVIA,CCOCH,Facebook,wwww.facebook.com/ArgentinaEnCochabamba
22,ESTADO  PLURINACIONAL  DE  BOLIVIA,CVILL,Facebook,https://www.facebook.com/ArgEnVillazon
23,ESTADOS  UNIDOS  MEXICANOS,EMEXI,Facebook,https://www.facebook.com/ARGenMexico/
24,ESTADOS  UNIDOS  MEXICANOS,EMEXI,Instagram,https://www.instagram.com/embargenmexico/
25,ESTADOS  UNIDOS  MEXICANOS,EMEXI,Twitter,https://twitter.com/@ARGenMexico
26,ESTADOS  UNIDOS  MEXICANOS,EMEXI,Youtube,https://www.youtube.com/user/EmbaArgenMX
27,Estados  Unidos  de  América,CCHIC,Facebook,https://www.facebook.com/ArgentinaEnChicago
28,Estados  Unidos  de  América,CCHIC,Twitter,https://twitter.com/argenchicago
29,Estados  Unidos  de  América,CCHIC,Youtube,https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured
30,Estados  Unidos  de  América,CHOUS,Facebook,https://www.facebook.com/ArgentinaEnHouston/
31,Estados  Unidos  de  América,CLANG,Facebook,https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel
32,Estados  Unidos  de  América,CMIAM,Facebook,https://es-la.facebook.com/consuladoargentino.miami/
33,Estados  Unidos  de  América,CNYOR,Facebook,https://www.facebook.com/ARGenNewYork
34,Estados  Unidos  de  América,CNYOR,Instagram,https://www.instagram.com/argennewyork/
35,Estados  Unidos  de  América,CNYOR,Twitter,https://twitter.com/ARGenNewYork
36,Estados  Unidos  de  América,CNYOR,Youtube,https://www.youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg
37,Estados  Unidos  de  América,EEEUU,Facebook,https://www.facebook.com/ARGinUSA/
38,Estados  Unidos  de  América,EEEUU,Flickr,https://www.flickr.com/photos/ARGinUSA/
39,Estados  Unidos  de  América,EEEUU,Instagram,https://www.instagram.com/ARGinUSA/
40,Estados  Unidos  de  América,EEEUU,Linkedin,www.linkedin.com/in/ARGinUSA
41,Estados  Unidos  de  América,EEEUU,Twitter,https://twitter.com/ARGinUSA
42,Estados  Unidos  de  América,EEEUU,Youtube,https://www.youtube.com/ARGinUSA
43,Estados  Unidos  de  América,EEOEA,Facebook,www.facebook.com/ARGenOEA/
44,Estados  Unidos  de  América,EEOEA,Instagram,www.instagram.com/argenoea/
45,Estados  Unidos  de  América,EEOEA,Twitter,www.twitter.com/ARGenOEA
46,Estados  Unidos  de  América,EEOEA,Youtube,www.youtube.com/channel/UCqjmCa0UfL3_I3Ovqz5ZAag/featured
47,FEDERACIÓN  DE  RUSIA,EFRUS,Facebook,https://www.facebook.com/EMBAJADAARGENTINAENMOSCU
48,FEDERACIÓN  DE  RUSIA,EFRUS,Twitter,https://twitter.com/EmbArgRusia
49,HUNGRÍA,EUNGR,Facebook,https://www.facebook.com/ArgentinaEnHungria
50,IRLANDA,EIRLA,Facebook,https://www.facebook.com/ArgentinaEnIrlanda/
51,IRLANDA,EIRLA,Instagram,https://www.instagram.com/embajadaargentinairlanda
52,JAMAICA,EJAMA,Facebook,https://www.facebook.com/ArgentinaEnJamaica/
53,JAMAICA,EJAMA,Twitter,https://twitter.com/ARGenJamaica
54,MALASIA,EMSIA,Facebook,https://www.facebook.com/ArgentinaEnMalasia
55,REINO  DE  ARABIA  SAUDITA,EARAB,Facebook,https://www.facebook.com/argentinaenarabiasaudita/
56,REINO  DE  ARABIA  SAUDITA,EARAB,Instagram,https://www.instagram.com/arginsaudi/
57,REINO  DE  ARABIA  SAUDITA,EARAB,Twitter,https://twitter.com/ensaudita
58,REINO  DE  DINAMARCA,EDINA,Facebook,https://www.facebook.com/EmbajadadeArgentinaenDinamarca/
59,REINO  DE  ESPAÑA,CBARC,Facebook,facebook.com/ArgEnBarcelona
60,REINO  DE  ESPAÑA,CBARC,Instagram,instagram.com/argenbarcelona
61,REINO  DE  ESPAÑA,CBARC,Linkedin,linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/
62,REINO  DE  ESPAÑA,CBARC,Twitter,twitter.com/ARGenBarcelona
63,REINO  DE  ESPAÑA,CCADI,Facebook,www.facebook.com/ArgentinaEnCadiz
64,REINO  DE  ESPAÑA,CMADR,Facebook,https://www.facebook.com/ArgentinaEnMadridEsp/
65,REINO  DE  ESPAÑA,CMALL,Facebook,https://www.facebook.com/ArgentinaEnPalmaDeMallorca
66,REINO  DE  ESPAÑA,CTENE,Facebook,www.facebook.com/argentinaentenerife
67,REINO  DE  ESPAÑA,CVIGO,Facebook,facebook.com/ArgentinaenVigo
68,REINO  DE  ESPAÑA,CVIGO,Instagram,https://www.instagram.com/argenvigo/
69,REINO  DE  ESPAÑA,EESPA,Facebook,https://www.facebook.com/argenespa/
70,REINO  DE  ESPAÑA,EESPA,Instagram,https://www.instagram.com/argenespa/
71,REINO  DE  ESPAÑA,EESPA,Twitter,https://twitter.com/ARGenesp
72,REINO  DE  LOS  PAÍSES  BAJOS,EPBAJ,Facebook,https://www.facebook.com/ArgEnPaisesBajos/
