id_sede,nombre
CBARC,Sección Consular (Asistencia al ciudadano/Visas)
CBARC,Sección Consular (Documentación/Asuntos previsionales)
CBARC,"Sección Cultura, Educación y Redes Sociales"
CBARC,Sección Administrativa
CBARC,Sección Consular (Opción de Nacionalidad/Notariales/Itinerancias)
CBARC,"Sección Comercial, Turismo e Inversiones"
CCHIC,Sección Económica y Comercial
CCHIC,Sección Consular
CFRAN,Sección Económica y Comercial
CFRAN,Sección Cultural
CFRAN,Sección Consular
CFRAN,Sección Administrativa
CGMUM,Sección Consular
CGMUM,Sección Económica y Comercial
CGMUM,Sección de Administración
CGTEL,Sección Consular
CGTEL,Sección Administrativa
CGUAY,CONSULAR
CGUAY,AGREGADO CONSULAR
CHONG,Sección Económica-Comercial
CHONG,Asuntos Consulares
CMIAM,Cónsul General Adjunto
CMIAM,Sección Consular (Documentación)
CMIAM,Sección Cultural
CMIAM,Sección Comercial e Inversiones
CMIAM,Sección Consular (Notariales)
CMIAM,Sección Consular (Trámites generales)
CMIAM,Sección Consular (Visas y Asistencia a Argentinos)
CMIAM,Sección Administración
CMILA,Sección Consular - Cónsul Adjunto Agustín Busignani
CMILA,Sección Administrativa - Titular:
CMILA,Sección Consular: Cónsul Adjunto Lara Fazzolari
CNYOR,Comunidad argentina y diplomacia pública
CNYOR,Sección Económica y Comercial
CNYOR,Asistencia a Argentinos en el Exterior
CNYOR,Visas
CNYOR,Turismo
CNYOR,Sección Notarial
CNYOR,Administración
CNYOR,Promoción Cultural
CNYOR,Sección Consular
CPABL,Sección Consular
CPCAR,Cónsul Adjunto
CRECI,Sección Consular
CRECI,Sección Cultural
CRECI,Sección Administrativa y Contable
CRECI,Sección Prensa
CRECI,Sección Económica y Comercial
CRIOJ,Sección Turismo
CRIOJ,Sección Cultural
CRIOJ,Sección Económica y Comercial
CRIOJ,Sección Consular
CSCRS,Sección Administrativa
CSCRS,Seccion Cultural
CSCRS,Sección Económica y Comercial
CSCRS,Sección Consular
CSHAN,Sección Deportiva
CSHAN,Sección Turismo
CSHAN,Sección Educativa
CSHAN,Sección Cultural
CSHAN,Sección Consular
CSHAN,Sección Prensa
CSHAN,Sección Económica y Comercial
CSIDN,Sección Comercial y Cultural
CSIDN,Sección Consular
CSIDN,Sección Administrativa
CTORO,SECCION ECONOMICA Y COMERCIAL
CTORO,SECCION CULTURAL
CTORO,SECCION CONSULAR
CURUG,Sección Comercial
CVIGO,Sección Consular
CVIGO,Sección Cultural
CVIGO,Sección Económica y Comercial
DITIC,nueva
DITIC,Sección prueba
EALEM,Sección Económica y Comercial
EALEM,Sección Cooperación Internacional
EALEM,Sección Consular
EALEM,Sección de Prensa
EALEM,Sección Cultural
EALEM,Jefa de Cancillería
EALEM,Sección Política
EALEM,Sección Turismo
