id_pais,anio,inmigrantes,emigrantes
AFG,1960,6.0,0.0
ALB,1960,4.0,0.0
DZA,1960,71.0,3.0
ASM,1960,0.0,0.0
AND,1960,0.0,4.0
AGO,1960,786.0,6.0
AIA,1960,0.0,0.0
ATG,1960,0.0,3.0
ARM,1960,1318.0,0.0
ABW,1960,4.0,8.0
AUS,1960,230.0,144.0
AUT,1960,21433.0,119.0
AZE,1960,20.0,0.0
BHS,1960,0.0,0.0
BHR,1960,1.0,0.0
BGD,1960,1.0,0.0
BRB,1960,8.0,8.0
BLR,1960,42.0,0.0
BEL,1960,147.0,100.0
BLZ,1960,10.0,5.0
BEN,1960,0.0,3.0
BMU,1960,0.0,0.0
BTN,1960,0.0,0.0
BOL,1960,90166.0,4113.0
BIH,1960,248.0,2.0
BWA,1960,1.0,0.0
BRA,1960,49290.0,17814.0
BRN,1960,0.0,0.0
BGR,1960,45.0,9.0
BFA,1960,3.0,0.0
BDI,1960,2.0,2.0
KHM,1960,2.0,4.0
CMR,1960,5.0,6.0
CAN,1960,164.0,1909.0
CPV,1960,5.0,5.0
CYM,1960,0.0,0.0
CAF,1960,1.0,0.0
TCD,1960,3.0,1.0
CHI,1960,0.0,0.0
CHL,1960,119505.0,11966.0
CHN,1960,3279.0,2.0
COL,1960,10601.0,943.0
COM,1960,1.0,0.0
COD,1960,16.0,25.0
COG,1960,6.0,0.0
COK,1960,0.0,0.0
CRI,1960,61.0,146.0
CIV,1960,5.0,7.0
HRV,1960,13131.0,0.0
CUB,1960,315.0,397.0
CYP,1960,2.0,8.0
CZE,1960,12838.0,3.0
DNK,1960,45.0,81.0
DJI,1960,0.0,0.0
DMA,1960,5.0,2.0
DOM,1960,278.0,90.0
ECU,1960,697.0,540.0
EGY,1960,968.0,9.0
SLV,1960,38.0,109.0
GNQ,1960,2.0,0.0
ERI,1960,5.0,0.0
EST,1960,206.0,0.0
ETH,1960,9.0,0.0
FRO,1960,0.0,4.0
FLK,1960,7.0,2.0
FJI,1960,0.0,23.0
FIN,1960,19.0,23.0
FRA,1960,22915.0,10669.0
GUF,1960,18.0,3.0
PYF,1960,4.0,4.0
GAB,1960,1.0,0.0
GMB,1960,1.0,0.0
GEO,1960,26.0,0.0
DEU,1960,50653.0,1230.0
GHA,1960,5.0,9.0
GIB,1960,0.0,16.0
GRC,1960,395.0,24.0
GRL,1960,0.0,0.0
GRD,1960,10.0,3.0
GLP,1960,24.0,0.0
GUM,1960,0.0,5.0
GTM,1960,24.0,203.0
GIN,1960,2.0,2.0
GNB,1960,1.0,0.0
GUY,1960,90.0,353.0
HTI,1960,34.0,0.0
HND,1960,22.0,68.0
HKG,1960,23.0,3.0
HUN,1960,432.0,48.0
ISL,1960,0.0,0.0
IND,1960,195.0,0.0
IDN,1960,17.0,24.0
IRN,1960,56.0,0.0
IRQ,1960,8.0,31.0
IRL,1960,17.0,48.0
IMN,1960,0.0,0.0
ISR,1960,703.0,1107.0
ITA,1960,927303.0,458.0
JAM,1960,7.0,0.0
JPN,1960,7692.0,5.0
JOR,1960,112.0,5.0
KAZ,1960,314.0,0.0
KEN,1960,7.0,0.0
KIR,1960,0.0,0.0
PRK,1960,479.0,0.0
KOR,1960,1537.0,0.0
