,pais,Cantidad_Tipo_Redes
0,Embajada en Estados Unidos,6
1,Embajada ante la Unión Europea,5
2,Embajada en Canadá,5
3,Embajada en Reino Unido,5
4,Consulado General y Centro de Promoción en Barcelona,4
5,Consulado General y Centro de Promoción en Nueva York,4
6,Embajada en México,4
7,Embajada en Túnez,4
8,Misión Permanente ante la Organización de Estados Americanos,4
9,Misión Permanente ante los Organismos Internacionales en Ginebra,4
10,Representación ante la Santa Sede,4
11,Consulado General en Chicago,3
12,Consulado General en Porto Alegre,3
13,Consulado General y Centro de Promoción en Milán,3
14,Consulado General y Centro de Promoción en Mumbai,3
15,Consulado en Belo Horizonte,3
16,Consulado en Curitiba,3
17,Consulado en Foz de Iguazu,3
18,Consulado en San Salvador de Bahía,3
19,Embajada en Arabia Saudita,3
20,Embajada en Argelia,3
21,Embajada en Armenia,3
22,Embajada en Austria,3
23,Embajada en Azerbaiyán,3
24,Embajada en Brasil,3
25,Embajada en Chile,3
26,Embajada en Ecuador,3
27,Embajada en Egipto,3
28,Embajada en El Salvador,3
29,Embajada en España,3
30,Embajada en Filipinas,3
31,Embajada en India,3
32,Embajada en Italia,3
33,Embajada en Sudáfrica,3
34,Embajada en Suecia,3
35,Embajada en Uruguay,3
36,Embajada en Venezuela,3
37,Consulado General en Ciudad del Este,2
38,Consulado General en Toronto,2
39,Consulado General en Vigo,2
40,Consulado en Bonn,2
41,Consulado en Maldonado,2
42,Consulado en Recife,2
43,Consulado en Uruguayana,2
44,"Delegación Permanente ante la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura",2
45,Embajada en Angola,2
46,Embajada en Australia,2
47,Embajada en Bulgaria,2
48,Embajada en Bélgica,2
49,Embajada en Corea Del Sur,2
50,Embajada en Etiopía,2
51,Embajada en Finlandia,2
52,Embajada en Grecia,2
53,Embajada en Holanda,2
54,Embajada en Irlanda,2
55,Embajada en Israel,2
56,Embajada en Jamaica,2
57,Embajada en Kenia,2
58,Embajada en Marruecos,2
59,Embajada en Nigeria,2
60,Embajada en Noruega,2
61,Embajada en Paraguay,2
62,Embajada en Perú,2
63,Embajada en República Checa,2
64,Embajada en Rumania,2
65,Embajada en Rusia,2
66,Embajada en Serbia,2
67,Embajada en Singapur,2
68,Embajada en Ucrania,2
69,Embajada en Vietnam,2
70,Consulado General en Houston,1
71,Consulado General en Londres,1
72,Consulado General en Madrid,1
73,Consulado General en Montevideo,1
74,Consulado General en Punta Arenas,1
75,Consulado General en Rio de Janeiro,1
76,Consulado General en Sidney,1
77,Consulado General en Tel Aviv,1
78,Consulado General en Valparaíso,1
79,Consulado General y Centro de Promoción en Los Ángeles,1
80,Consulado General y Centro de Promoción en Miami,1
81,Consulado en Antofagasta,1
82,Consulado en Cochabamba,1
83,Consulado en Colonia,1
84,Consulado en Cádiz,1
85,Consulado en Florianopolis,1
86,Consulado en Palma,1
87,Consulado en Puerto Montt,1
88,Consulado en Tenerife,1
89,Consulado en Villazon,1
90,Embajada en Alemania,1
91,Embajada en Barbados,1
92,Embajada en Colombia,1
93,Embajada en Costa Rica,1
94,Embajada en Cuba,1
95,Embajada en Dinamarca,1
96,Embajada en Emiratos Árabes Unidos,1
97,Embajada en Francia,1
98,Embajada en Hungría,1
99,Embajada en Japón,1
100,Embajada en Kuwait,1
101,Embajada en Líbano,1
102,Embajada en Malasia,1
103,Embajada en Mozambique,1
104,Embajada en Pakistán,1
105,Embajada en Polonia,1
106,Embajada en República Dominicana,1
107,Embajada en Siria,1
108,Embajada en Tailandia,1
109,Embajada en Trinidad y Tobago,1
110,Oficina de Representación en el Estado de Palestina,1
