,país,sede,red_social,url
0,AUSTRALIA,CSIDN,facebook,https://www.facebook.com/ArgentinaEnSidney/
1,AUSTRALIA,EAUST,facebook,https://www.facebook.com/ArgentinaEnAustralia/
2,AUSTRALIA,EAUST,twitter,https://twitter.com/ARGinAustralia
3,BARBADOS,EBARB,facebook,https://www.facebook.com/ArgentinaEnBarbados/
4,CANADÁ,CTORO,facebook,https://www.facebook.com/ArgentinaEnToronto/
5,CANADÁ,CTORO,instagram,https://www.instagram.com/consuladoargtoronto/
6,CANADÁ,ECANA,facebook,https://www.facebook.com/ArgentinaInCanada
7,CANADÁ,ECANA,instagram,https://www.instagram.com/argentinaincanada/
8,CANADÁ,ECANA,linkedin,https://www.linkedin.com/company/argentinaincanada
9,CANADÁ,ECANA,twitter,https://twitter.com/ArginCanada
10,CANADÁ,ECANA,youtube,https://www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A
11,Confederación  Suiza,EOIRS,facebook,https://www.facebook.com/ArgentinaEnGinebra
12,Confederación  Suiza,EOIRS,instagram,www.instagram.com/misionargentinaonu
13,Confederación  Suiza,EOIRS,twitter,https://twitter.com/ArgentinaONUOMC
14,Confederación  Suiza,EOIRS,youtube,https://www.youtube.com/channel/UCSOsChik8j7nFJZnPq6K7Ag
15,EMIRATOS  ÁRABES  UNIDOS,EEARB,facebook,https://www.facebook.com/ArgentinaEnEmiratosArabesUnidos
16,ESTADO  DE  ISRAEL,CGTEL,facebook,https://www.facebook.com/ArgentinaEnIsrael/
17,ESTADO  DE  ISRAEL,EISRA,facebook,https://www.facebook.com/ArgEnIsrael
18,ESTADO  DE  ISRAEL,EISRA,twitter,https://twitter.com/argenisrael
19,ESTADO  DE  KUWAIT,EKUWA,facebook,www.facebook.com/ArgentinaenKuwait
20,ESTADO  DE  PALESTINA,REPAL,facebook,https://www.facebook.com/ArgEnPalestina
21,ESTADO  PLURINACIONAL  DE  BOLIVIA,CCOCH,facebook,wwww.facebook.com/ArgentinaEnCochabamba
22,ESTADO  PLURINACIONAL  DE  BOLIVIA,CVILL,facebook,https://www.facebook.com/ArgEnVillazon
23,ESTADOS  UNIDOS  MEXICANOS,EMEXI,facebook,https://www.facebook.com/ARGenMexico/
24,ESTADOS  UNIDOS  MEXICANOS,EMEXI,instagram,https://www.instagram.com/embargenmexico/
25,ESTADOS  UNIDOS  MEXICANOS,EMEXI,twitter,https://twitter.com/@ARGenMexico
26,ESTADOS  UNIDOS  MEXICANOS,EMEXI,youtube,https://www.youtube.com/user/EmbaArgenMX
27,Estados  Unidos  de  América,CCHIC,facebook,https://www.facebook.com/ArgentinaEnChicago
28,Estados  Unidos  de  América,CCHIC,twitter,https://twitter.com/argenchicago
29,Estados  Unidos  de  América,CCHIC,youtube,https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured
30,Estados  Unidos  de  América,CHOUS,facebook,https://www.facebook.com/ArgentinaEnHouston/
31,Estados  Unidos  de  América,CLANG,facebook,https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel
32,Estados  Unidos  de  América,CMIAM,facebook,https://es-la.facebook.com/consuladoargentino.miami/
33,Estados  Unidos  de  América,CNYOR,facebook,https://www.facebook.com/ARGenNewYork
34,Estados  Unidos  de  América,CNYOR,instagram,https://www.instagram.com/argennewyork/
35,Estados  Unidos  de  América,CNYOR,twitter,https://twitter.com/ARGenNewYork
36,Estados  Unidos  de  América,CNYOR,youtube,https://www.youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg
37,Estados  Unidos  de  América,EEEUU,facebook,https://www.facebook.com/ARGinUSA/
38,Estados  Unidos  de  América,EEEUU,flickr,https://www.flickr.com/photos/ARGinUSA/
39,Estados  Unidos  de  América,EEEUU,instagram,https://www.instagram.com/ARGinUSA/
40,Estados  Unidos  de  América,EEEUU,linkedin,www.linkedin.com/in/ARGinUSA
41,Estados  Unidos  de  América,EEEUU,twitter,https://twitter.com/ARGinUSA
42,Estados  Unidos  de  América,EEEUU,youtube,https://www.youtube.com/ARGinUSA
43,Estados  Unidos  de  América,EEOEA,facebook,www.facebook.com/ARGenOEA/
44,Estados  Unidos  de  América,EEOEA,instagram,www.instagram.com/argenoea/
45,Estados  Unidos  de  América,EEOEA,twitter,www.twitter.com/ARGenOEA
46,Estados  Unidos  de  América,EEOEA,youtube,www.youtube.com/channel/UCqjmCa0UfL3_I3Ovqz5ZAag/featured
47,FEDERACIÓN  DE  RUSIA,EFRUS,facebook,https://www.facebook.com/EMBAJADAARGENTINAENMOSCU
48,FEDERACIÓN  DE  RUSIA,EFRUS,twitter,https://twitter.com/EmbArgRusia
49,HUNGRÍA,EUNGR,facebook,https://www.facebook.com/ArgentinaEnHungria
50,IRLANDA,EIRLA,facebook,https://www.facebook.com/ArgentinaEnIrlanda/
51,IRLANDA,EIRLA,instagram,https://www.instagram.com/embajadaargentinairlanda
52,JAMAICA,EJAMA,facebook,https://www.facebook.com/ArgentinaEnJamaica/
53,JAMAICA,EJAMA,twitter,https://twitter.com/ARGenJamaica
54,MALASIA,EMSIA,facebook,https://www.facebook.com/ArgentinaEnMalasia
55,REINO  DE  ARABIA  SAUDITA,EARAB,facebook,https://www.facebook.com/argentinaenarabiasaudita/
56,REINO  DE  ARABIA  SAUDITA,EARAB,instagram,https://www.instagram.com/arginsaudi/
57,REINO  DE  ARABIA  SAUDITA,EARAB,twitter,https://twitter.com/ensaudita
58,REINO  DE  DINAMARCA,EDINA,facebook,https://www.facebook.com/EmbajadadeArgentinaenDinamarca/
59,REINO  DE  ESPAÑA,CBARC,facebook,facebook.com/ArgEnBarcelona
60,REINO  DE  ESPAÑA,CBARC,instagram,instagram.com/argenbarcelona
61,REINO  DE  ESPAÑA,CBARC,linkedin,linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/
62,REINO  DE  ESPAÑA,CBARC,twitter,twitter.com/ARGenBarcelona
63,REINO  DE  ESPAÑA,CCADI,facebook,www.facebook.com/ArgentinaEnCadiz
64,REINO  DE  ESPAÑA,CMADR,facebook,https://www.facebook.com/ArgentinaEnMadridEsp/
65,REINO  DE  ESPAÑA,CMALL,facebook,https://www.facebook.com/ArgentinaEnPalmaDeMallorca
66,REINO  DE  ESPAÑA,CTENE,facebook,www.facebook.com/argentinaentenerife
67,REINO  DE  ESPAÑA,CVIGO,facebook,facebook.com/ArgentinaenVigo
68,REINO  DE  ESPAÑA,CVIGO,instagram,https://www.instagram.com/argenvigo/
69,REINO  DE  ESPAÑA,EESPA,facebook,https://www.facebook.com/argenespa/
70,REINO  DE  ESPAÑA,EESPA,instagram,https://www.instagram.com/argenespa/
71,REINO  DE  ESPAÑA,EESPA,twitter,https://twitter.com/ARGenesp
72,REINO  DE  LOS  PAÍSES  BAJOS,EPBAJ,facebook,https://www.facebook.com/ArgEnPaisesBajos/
73,REINO  DE  LOS  PAÍSES  BAJOS,EPBAJ,twitter,https://twitter.com/ArgentinaEnPB
74,REINO  DE  MARRUECOS,EMARR,instagram,https://www.instagram.com/marruecos.embajada/
